model_name,examples,accuracy,expected_random,majority_label,majority_label_accuracy,majority_per_n_accuracy,always_none_accuracy,true_none_rate,pred_none_rate,none_accuracy,event_accuracy
random,1000,0.299,0.2865976889123948,A,0.312,0.349,0.54,0.54,0.294,0.362962962962963,0.22391304347826088
audio-flamingo-3-no-audio,1000,0.272,0.2865976889123948,A,0.312,0.349,0.54,0.54,0.236,0.26851851851851855,0.27608695652173915
qwen2-audio-7b-instruct-no-audio,1000,0.239,0.2865976889123948,A,0.312,0.349,0.54,0.54,0.191,0.23333333333333334,0.24565217391304348
audio-flamingo-3,1000,0.194,0.2865976889123948,A,0.312,0.349,0.54,0.54,0.055,0.07222222222222222,0.33695652173913043
qwen2-audio-7b-instruct,1000,0.177,0.2865976889123948,A,0.312,0.349,0.54,0.54,0.056,0.07222222222222222,0.3
