run_id,task_id,model_name,examples,correct,accuracy,elapsed_seconds,average_latency_ms,started_at_utc,finished_at_utc,dataset_path,decisions_path,run_dir,metrics_path,run_config_path,analysis_path,parse_invalid,missing_predictions,prediction_entropy,answer_entropy,use_audio
20260217_140006,MCQ-ORDER,audio-flamingo-3,1000,194,0.194,506.752336,506.752336,2026-02-17 14:00:06.577670+00:00,2026-02-17 14:10:41.379725+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/audio-flamingo-3/20260217_140006/decisions.jsonl,results/mcq-order/audio-flamingo-3/20260217_140006,results/mcq-order/audio-flamingo-3/20260217_140006/metrics.json,results/mcq-order/audio-flamingo-3/20260217_140006/run_config.json,results/mcq-order/audio-flamingo-3/20260217_140006/analysis.json,0,0,1.9870339596641586,2.603295097307085,True
20260217_130051,MCQ-ORDER,audio-flamingo-3-no-audio,1000,272,0.272,346.676806,346.676806,2026-02-17 13:00:51.704954+00:00,2026-02-17 13:06:38.695388+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/audio-flamingo-3-no-audio/20260217_130051/decisions.jsonl,results/mcq-order/audio-flamingo-3-no-audio/20260217_130051,results/mcq-order/audio-flamingo-3-no-audio/20260217_130051/metrics.json,results/mcq-order/audio-flamingo-3-no-audio/20260217_130051/run_config.json,results/mcq-order/audio-flamingo-3-no-audio/20260217_130051/analysis.json,0,0,2.194567735799897,2.603295097307085,False
20260217_122811,MCQ-ORDER,qwen2-audio-7b-instruct,1000,177,0.177,220.77039,220.77039,2026-02-17 12:28:11.658204+00:00,2026-02-17 12:32:14.037233+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/qwen2-audio-7b-instruct/20260217_122811/decisions.jsonl,results/mcq-order/qwen2-audio-7b-instruct/20260217_122811,results/mcq-order/qwen2-audio-7b-instruct/20260217_122811/metrics.json,results/mcq-order/qwen2-audio-7b-instruct/20260217_122811/run_config.json,results/mcq-order/qwen2-audio-7b-instruct/20260217_122811/analysis.json,0,0,2.136248081299724,2.603295097307085,True
20260217_120455,MCQ-ORDER,qwen2-audio-7b-instruct-no-audio,1000,239,0.239,223.457149,223.457149,2026-02-17 12:04:55.937109+00:00,2026-02-17 12:08:59.615249+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/qwen2-audio-7b-instruct-no-audio/20260217_120455/decisions.jsonl,results/mcq-order/qwen2-audio-7b-instruct-no-audio/20260217_120455,results/mcq-order/qwen2-audio-7b-instruct-no-audio/20260217_120455/metrics.json,results/mcq-order/qwen2-audio-7b-instruct-no-audio/20260217_120455/run_config.json,results/mcq-order/qwen2-audio-7b-instruct-no-audio/20260217_120455/analysis.json,43,0,2.279277019946265,2.603295097307085,False
20260217_150324,MCQ-ORDER,random,1000,299,0.299,0.002282,0.000527,2026-02-17 15:03:24.308421+00:00,2026-02-17 15:03:24.310940+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/random/20260217_150324/decisions.jsonl,results/mcq-order/random/20260217_150324,results/mcq-order/random/20260217_150324/metrics.json,results/mcq-order/random/20260217_150324/run_config.json,results/mcq-order/random/20260217_150324/analysis.json,0,0,2.554287896723763,2.603295097307085,True
